id	Name	Category
0	BGP Data	BGP Routing Data
1	PCH - Cable System Topology	Infrastructure Data
2	Netflow-1	Traffic Flow Data
3	Netflow-2	Traffic Flow Data
4	Netflow-3	Traffic Flow Data
5	200paul.woodynet.pch.net.xml	BGP Routing Data
6	bdix.woodynet.pch.net	BGP Routing Data
7	npix.woodynet.pch.net	BGP Routing Data
8	equinix-la.woodynet.pch.net	BGP Routing Data
9	laiix.woodynet.pch.net	BGP Routing Data
10	UCSD Real-time Network Telescope Data	Blackhole Address Space Data
11	BGP Logs	BGP Routing Data
12	CSUSpamLogs	Unsolicited Bulk Email Data
13	usc_lander_ongoing_tracing_scrambled-20120501	IP Packet Headers
14	Active Topology Measurements with Skitter	Internet Topology Data
15	netnod.woodynet.pch.net	BGP Routing Data
16	hkix.woodynet.pch.net	BGP Routing Data
17	IPv4 Routed /24 Topology	Internet Topology Data
18	IPv4 Routed /24 DNS Names	Internet Topology Data
19	IPReputationList	Unsolicited Bulk Email Data
20	PCH - IXP Member Lists	Infrastructure Data
21	Longitudinal Darknet 35/8	Blackhole Address Space Data
22	PCH - BGP routing table data	BGP Routing Data
23	PCH - BGP Outage Data	BGP Routing Data
24	E2ENRM	Performance and Quality Measurements
25	linx.woodynet.pch.net	BGP Routing Data
26	equinix-ashburn.woodynet.pch.net	BGP Routing Data
27	nyiix.woodynet.pch.net	BGP Routing Data
28	amsix.woodynet.pch.net	BGP Routing Data
29	equinix-sin.woodynet.pch.net	BGP Routing Data
30	Darknet 5/8	Blackhole Address Space Data
31	Backscatter-tocs	Blackhole Address Space Data
32	DoS_80_timeseries-20020629	IP Packet Headers
33	DoS_traces-20020629	IP Packet Headers
34	August 14, 2002 OC48 Peering Point Trace	IP Packet Headers
35	PCH - Routing Prefix Origin Inconsistencies	BGP Routing Data
36	IPv6 Topology	Internet Topology Data
37	FRGPContinuousFlowData	Traffic Flow Data
38	as_to_org_mapping_inferred_truth-20100507	Internet Topology Data
39	PCH - DNS Query Metadata	DNS Data
40	January 15, 2003 OC48 Peering Point Trace	IP Packet Headers
41	April 24, 2003 OC48 Peering Point Trace	IP Packet Headers
42	internet_address_survey_icmp1-20030601	Address Space Allocation Data
43	internet_address_survey_icmp2-20031008	Address Space Allocation Data
44	internet_address_survey_tcp1-20031120	Address Space Allocation Data
45	ims-witty	Blackhole Address Space Data
46	Witty Worm Dataset	Blackhole Address Space Data
47	ims-trend-1	Blackhole Address Space Data
48	ims-bagle_backdoor	Blackhole Address Space Data
49	ims-mydoom_backdoor	Blackhole Address Space Data
50	ims-sasser	Blackhole Address Space Data
51	ims-dabber	Blackhole Address Space Data
52	Backscatter-2004-2005	Blackhole Address Space Data
53	internet_address_survey_it1-20040621	Address Space Allocation Data
54	internet_address_survey_it2-20040830	Address Space Allocation Data
55	p2p_detection-20050830	IP Packet Headers
56	internet_address_survey_it7-20050902	Address Space Allocation Data
57	Skaion 2006 IARPA Dataset	Synthetically Generated Data
58	internet_address_survey_it9-20051214	Address Space Allocation Data
59	Backscatter-2006	Blackhole Address Space Data
